I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
70.00000000000031,40.00000000000018,-20.00000000000009,-60.00000000000027,40.00000000000018,10.000000000000044,-0.0,50.00000000000022,60.00000000000027,40.00000000000018,30.000000000000135,-0.0
70.00000000000031,50.00000000000022,-10.000000000000044,-60.00000000000027,40.00000000000018,10.000000000000044,-0.0,50.00000000000022,60.00000000000027,40.00000000000018,30.000000000000135,-0.0
70.00000000000031,50.00000000000022,-10.000000000000044,-60.00000000000027,40.00000000000018,20.00000000000009,-0.0,50.00000000000022,70.00000000000031,40.00000000000018,30.000000000000135,-0.0
70.00000000000031,60.00000000000027,-0.0,-60.00000000000027,40.00000000000018,20.00000000000009,-0.0,50.00000000000022,70.00000000000031,40.00000000000018,40.00000000000018,-0.0
60.00000000000027,60.00000000000027,-0.0,-60.00000000000027,30.000000000000135,20.00000000000009,-0.0,50.00000000000022,70.00000000000031,40.00000000000018,40.00000000000018,-0.0
60.00000000000027,60.00000000000027,-0.0,-60.00000000000027,30.000000000000135,20.00000000000009,-10.000000000000044,50.00000000000022,60.00000000000027,40.00000000000018,40.00000000000018,-0.0
50.00000000000022,50.00000000000022,-0.0,-50.00000000000022,20.00000000000009,20.00000000000009,-10.000000000000044,40.00000000000018,60.00000000000027,50.00000000000022,50.00000000000022,-0.0
50.00000000000022,50.00000000000022,-0.0,-50.00000000000022,20.00000000000009,20.00000000000009,-20.00000000000009,40.00000000000018,60.00000000000027,50.00000000000022,50.00000000000022,-0.0
40.00000000000018,50.00000000000022,-0.0,-40.00000000000018,10.000000000000044,20.00000000000009,-30.000000000000135,40.00000000000018,60.00000000000027,50.00000000000022,60.00000000000027,-0.0
30.000000000000135,40.00000000000018,-0.0,-40.00000000000018,10.000000000000044,10.000000000000044,-30.000000000000135,40.00000000000018,60.00000000000027,60.00000000000027,60.00000000000027,-0.0
30.000000000000135,30.000000000000135,-0.0,-30.000000000000135,10.000000000000044,10.000000000000044,-30.000000000000135,30.000000000000135,60.00000000000027,60.00000000000027,70.00000000000031,-0.0
30.000000000000135,30.000000000000135,-0.0,-30.000000000000135,10.000000000000044,10.000000000000044,-40.00000000000018,30.000000000000135,60.00000000000027,70.00000000000031,80.00000000000036,-0.0
30.000000000000135,30.000000000000135,-0.0,-30.000000000000135,10.000000000000044,10.000000000000044,-40.00000000000018,20.00000000000009,60.00000000000027,70.00000000000031,80.00000000000036,-0.0
30.000000000000135,30.000000000000135,-0.0,-20.00000000000009,10.000000000000044,-0.0,-50.00000000000022,20.00000000000009,60.00000000000027,70.00000000000031,90.0000000000004,-0.0
30.000000000000135,20.00000000000009,-10.000000000000044,-20.00000000000009,20.00000000000009,-0.0,-60.00000000000027,20.00000000000009,60.00000000000027,80.00000000000036,90.0000000000004,10.000000000000044
30.000000000000135,20.00000000000009,-10.000000000000044,-20.00000000000009,20.00000000000009,-0.0,-70.00000000000031,20.00000000000009,60.00000000000027,90.0000000000004,100.00000000000044,10.000000000000044
30.000000000000135,10.000000000000044,-10.000000000000044,-20.00000000000009,20.00000000000009,-0.0,-70.00000000000031,10.000000000000044,70.00000000000031,100.00000000000044,100.00000000000044,10.000000000000044
30.000000000000135,10.000000000000044,-20.00000000000009,-10.000000000000044,20.00000000000009,-0.0,-70.00000000000031,20.00000000000009,80.00000000000036,110.00000000000048,120.00000000000054,10.000000000000044
20.00000000000009,-0.0,-20.00000000000009,-10.000000000000044,20.00000000000009,-0.0,-70.00000000000031,20.00000000000009,80.00000000000036,120.00000000000054,130.00000000000057,10.000000000000044
20.00000000000009,-0.0,-20.00000000000009,-10.000000000000044,20.00000000000009,-0.0,-70.00000000000031,20.00000000000009,90.0000000000004,120.00000000000054,130.00000000000057,10.000000000000044
20.00000000000009,-0.0,-20.00000000000009,-10.000000000000044,20.00000000000009,-0.0,-70.00000000000031,30.000000000000135,90.0000000000004,120.00000000000054,130.00000000000057,10.000000000000044
10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-70.00000000000031,30.000000000000135,90.0000000000004,120.00000000000054,130.00000000000057,-0.0
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-60.00000000000027,30.000000000000135,90.0000000000004,100.00000000000044,120.00000000000054,-0.0
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-60.00000000000027,30.000000000000135,80.00000000000036,100.00000000000044,100.00000000000044,-10.000000000000044
10.000000000000044,-0.0,-0.0,-10.000000000000044,10.000000000000044,-0.0,-50.00000000000022,30.000000000000135,70.00000000000031,80.00000000000036,90.0000000000004,-20.00000000000009
10.000000000000044,-0.0,-0.0,-10.000000000000044,10.000000000000044,-0.0,-40.00000000000018,30.000000000000135,70.00000000000031,70.00000000000031,80.00000000000036,-30.000000000000135
20.00000000000009,-0.0,-0.0,-10.000000000000044,10.000000000000044,-0.0,-40.00000000000018,30.000000000000135,60.00000000000027,60.00000000000027,70.00000000000031,-40.00000000000018
20.00000000000009,10.000000000000044,-0.0,-10.000000000000044,10.000000000000044,-0.0,-30.000000000000135,30.000000000000135,50.00000000000022,50.00000000000022,50.00000000000022,-50.00000000000022
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,10.000000000000044,-0.0,-20.00000000000009,30.000000000000135,50.00000000000022,40.00000000000018,50.00000000000022,-60.00000000000027
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,30.000000000000135,40.00000000000018,40.00000000000018,40.00000000000018,-60.00000000000027
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,10.000000000000044,-0.0,-0.0,40.00000000000018,40.00000000000018,30.000000000000135,30.000000000000135,-70.00000000000031
10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,30.000000000000135,40.00000000000018,20.00000000000009,20.00000000000009,-70.00000000000031
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,20.00000000000009,-70.00000000000031
20.00000000000009,10.000000000000044,-0.0,-20.00000000000009,10.000000000000044,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,-80.00000000000036
20.00000000000009,10.000000000000044,-0.0,-20.00000000000009,10.000000000000044,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,-80.00000000000036
20.00000000000009,20.00000000000009,-0.0,-20.00000000000009,10.000000000000044,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,-80.00000000000036
20.00000000000009,20.00000000000009,-0.0,-20.00000000000009,10.000000000000044,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,-80.00000000000036
20.00000000000009,20.00000000000009,-0.0,-20.00000000000009,10.000000000000044,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,-80.00000000000036
20.00000000000009,10.000000000000044,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-0.0,30.000000000000135,30.000000000000135,20.00000000000009,10.000000000000044,-70.00000000000031
20.00000000000009,10.000000000000044,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-0.0,40.00000000000018,30.000000000000135,20.00000000000009,10.000000000000044,-70.00000000000031
20.00000000000009,-0.0,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-0.0,40.00000000000018,30.000000000000135,20.00000000000009,10.000000000000044,-70.00000000000031
10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-0.0,40.00000000000018,30.000000000000135,20.00000000000009,10.000000000000044,-70.00000000000031
10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,40.00000000000018,30.000000000000135,20.00000000000009,-70.00000000000031
10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,40.00000000000018,30.000000000000135,20.00000000000009,-70.00000000000031
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,40.00000000000018,30.000000000000135,20.00000000000009,-70.00000000000031
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,50.00000000000022,30.000000000000135,20.00000000000009,-70.00000000000031
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,50.00000000000022,40.00000000000018,30.000000000000135,-60.00000000000027
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,60.00000000000027,50.00000000000022,30.000000000000135,-60.00000000000027
10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,60.00000000000027,50.00000000000022,40.00000000000018,-60.00000000000027
10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,50.00000000000022,60.00000000000027,50.00000000000022,40.00000000000018,-60.00000000000027
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.000000000000044,50.00000000000022,60.00000000000027,50.00000000000022,40.00000000000018,-60.00000000000027
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.000000000000044,50.00000000000022,60.00000000000027,50.00000000000022,40.00000000000018,-60.00000000000027
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.000000000000044,50.00000000000022,60.00000000000027,40.00000000000018,30.000000000000135,-60.00000000000027
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,50.00000000000022,60.00000000000027,40.00000000000018,30.000000000000135,-60.00000000000027
10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,50.00000000000022,60.00000000000027,40.00000000000018,30.000000000000135,-60.00000000000027
10.000000000000044,-0.0,-0.0,-0.0,10.000000000000044,-0.0,-0.0,50.00000000000022,50.00000000000022,30.000000000000135,20.00000000000009,-60.00000000000027
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,40.00000000000018,50.00000000000022,30.000000000000135,20.00000000000009,-60.00000000000027
10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-0.0,40.00000000000018,50.00000000000022,30.000000000000135,20.00000000000009,-60.00000000000027
10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-0.0,40.00000000000018,40.00000000000018,20.00000000000009,20.00000000000009,-50.00000000000022
10.000000000000044,-0.0,-0.0,-10.000000000000044,10.000000000000044,-0.0,-0.0,40.00000000000018,40.00000000000018,20.00000000000009,20.00000000000009,-50.00000000000022
10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,40.00000000000018,20.00000000000009,20.00000000000009,-40.00000000000018
10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40.00000000000018,40.00000000000018,20.00000000000009,20.00000000000009,-30.000000000000135
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,30.000000000000135,30.000000000000135,20.00000000000009,10.000000000000044,-30.000000000000135
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,-20.00000000000009
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,-20.00000000000009
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,30.000000000000135,20.00000000000009,-0.0,10.000000000000044,-20.00000000000009
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,30.000000000000135,20.00000000000009,-0.0,-0.0,-20.00000000000009
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,30.000000000000135,10.000000000000044,-0.0,-0.0,-20.00000000000009
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,20.00000000000009,10.000000000000044,-0.0,-0.0,-20.00000000000009
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,20.00000000000009,10.000000000000044,-0.0,-0.0,-20.00000000000009
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,20.00000000000009,10.000000000000044,-0.0,-0.0,-20.00000000000009
-0.0,-0.0,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,20.00000000000009,10.000000000000044,-0.0,-0.0,-10.000000000000044
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-10.000000000000044,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-10.000000000000044,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-20.00000000000009,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-30.000000000000135,-20.00000000000009,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-30.000000000000135,-20.00000000000009,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-30.000000000000135,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-30.000000000000135,-30.000000000000135,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-30.000000000000135,-20.00000000000009,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-0.0,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-10.000000000000044,-10.000000000000044,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-10.000000000000044,-10.000000000000044,-10.000000000000044
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-20.00000000000009,-10.000000000000044
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-20.00000000000009,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-20.00000000000009,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-0.0
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-0.0
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-0.0
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-20.00000000000009,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-20.00000000000009,-0.0
